 ID, Epic, User Story, Acceptance criteria, Phase
 FFIE-AUTH-01, Authentication & access," As a member, I want to log in to access the reserved resources."," - The application offers a member login screen - After successful login, the member accesses the reserved content - An error message is displayed if the login fails", 🔵 Phase 1
 FFIE-AUTH-02, Authentication & access," As a non-logged-in user, I want to view the public sections of the application to access the content that is authorized for me.", - Public content is accessible without logging in. - Content reserved for members is not accessible without logging in. - Available content depends on the user profile., 🔵 Phase 1
 FFIE-AUTH-03, Authentication & access,"As a logged-in user, I want to log out to secure my access."," - A logout option is available in the application - After logging out, the user no longer has access to restricted content", 🔵 Phase 1
 FFIE-AUTH-04, Authentication & access," As part of the FFIE team, I want the application to integrate with existing FFIE membership management systems to synchronize member information and manage restricted access.", - The application communicates securely with existing FFIE membership management systems via API. - Member information required by the application is synchronized. - Access to restricted content is managed according to roles and permissions., 🔵 Phase 1
 FFIE-AUTH-05, Authentication & access," As a user, I want to see navigation tailored to my profile so that I can only access authorized sections."," Navigation is differentiated according to user profiles: member, non-member company, general public - Each profile only has access to the sections authorized for them - Restricted sections are protected", 🔵 Phase 1
 FFIE-NEWS-01, News feed," As a user, I want to check the FFIE news to stay informed."," - The feed displays articles, press releases, events, and editorial content. - Content is displayed chronologically. - Content can be organized by category.", 🔵 Phase 1
 FFIE-NEWS-02, News feed," As a user, I want to open a news item to view its full content."," - Each news item has a detailed view - The detailed view can display text, images, and associated documents - Sharing may be offered", 🔵 Phase 1
 FFIE-DOC-01, Document database,"As part of the FFIE team, I want existing documents from the FFIE website to be synchronized with the application to populate the document library.", - Existing documents from the FFIE website are synchronized with the application. - Documents are structured in the document library. - Access to documents respects user rights., 🔵 Phase 1
 FFIE-DOC-02, Document database," As a member, I want to view the documents in the application to access professional resources.", - Accessible documents can be opened in the application. - Viewing documents respects user rights., 🔵 Phase 1
 FFIE-DOC-03, Document database," As a member, I want to download documents to keep locally.", - Accessible documents can be downloaded - Downloaded documents can be opened locally, 🔵 Phase 1
 FFIE-DOC-04, Document database,"As a member, I want to filter and search documents to quickly find a resource.", The document library allows filtering - The document library allows searching by category - The document library allows searching by title - The displayed results respect user rights, 🔵 Phase 1
 FFIE-TRADES-01, Discover the professions," As a general public visitor, I want to discover the jobs in the electricity sector to learn more about it.", - A section dedicated to discovering careers in the electrical industry is available. - The section features career profiles. - The section may also include educational content and presentation videos., 🔵 Phase 1
 FFIE-VIDEO-01, Video content," As a user, I want to watch videos in the application to view the multimedia content offered.", - Video content can be played within the application - An integrated video player displays multimedia content, 🔵 Phase 1
 FFIE-PART-01, Partners," As a user, I want to access a partners section to view the platforms associated with the FFIE."," One section presents Qualifelec, Consuel, OPPBTP and other partners - Each partner has a link to their platform", 🔵 Phase 1
 FFIE-PUSH-01, Push notifications,"As a user, I want to receive notifications to be informed of new content or important information.", The application can send push notifications (automatic or one-off) – these notifications concern new content or important information., 🔵 Phase 1
 FFIE-OFFLINE-01, Partial offline mode," As a user, I want faster access to previously viewed content and the ability to view it in a limited way without logging in.", - The content you view may be cached. - Caching allows for faster access to the relevant content. - Cached content can be accessed in a limited way without an internet connection., 🔵 Phase 1
 FFIE-SEC-01, Security & GDPR," As part of the FFIE team, I want communications to be encrypted to protect data and access.", - Communications are encrypted - Data access is controlled according to roles and permissions, 🔵 Phase 1
 FFIE-SEC-02, Security & GDPR," As a user, I want my personal data to be processed in accordance with the GDPR.", - Personal data is managed in accordance with GDPR obligations, 🔵 Phase 1
 FFIE-BO-01, FFIE Back Office,"As an FFIE administrator, I want to access the back office to manage the application's content and users.", - Access to the back office is via a secure connection - FFIE administrators can use the provided administrative functions, 🔵 Phase 1
 FFIE-BO-02, FFIE Back Office," As an FFIE administrator, I want to manage the news to publish and maintain the information displayed in the application.", - News items can be managed from the back office - Managed news items appear in the application, 🔵 Phase 1
 FFIE-BO-03, FFIE Back Office," As an FFIE administrator, I want to manage the application's content to keep the editorial sections up to date.", The application's content can be managed from the back office - The managed content feeds the relevant sections of the application., 🔵 Phase 1
 FFIE-BO-04, FFIE Back Office," As an FFIE administrator, I want to manage documents to keep the document library up to date.",Documents can be managed from the back office. Managed documents are available in the document library. A counter has been added to track the number of times a document has been downloaded. Document access respects user rights., 🔵 Phase 1
 FFIE-BO-05, FFIE Back Office,"As an FFIE administrator, I want to manage the videos to feed the multimedia content of the application.", - Videos can be managed from the back office. - Managed videos are available in the relevant sections of the application., 🔵 Phase 1
 FFIE-BO-06, FFIE Back Office," As an FFIE administrator, I want to manage users to control access to the application.", - Users can be managed from the back office. - User management respects defined roles and rights., 🔵 Phase 1
 FFIE-BO-07, FFIE Back Office," As an FFIE administrator, I want to manage notifications to communicate with users.", - Notifications can be managed from the back office. - Notifications can be sent for new content or important information., 🔵 Phase 1
 FFIE-TUTO-01, Tutorial area," As a member, I want to access a tutorial area to consult educational content."," The tutorials section includes video tutorials, practical guides, and technical guides. - Educational content is accessible to authorized users.", 🟢 Phase 2
 FFIE-TUTO-02, Tutorial area," As a member, I want to search and filter tutorials to easily find relevant content.", - Tutorials can be organized by category - A search engine facilitates access to content, 🟢 Phase 2
 FFIE-CALC-01, Technical calculators," As a member, I want access to business calculation tools to perform technical calculations in the application."," - A module integrates industry-specific calculation tools - The calculators can cover the topics defined in the proposal: power, sizing, and standards", 🟢 Phase 2
 FFIE-CALC-02, Technical calculators," As a member, I want to use the first available calculators to obtain results from the information entered.", The first calculators defined by the FFIE are available - Each calculator allows the user to enter the necessary information - Each calculator displays a result, 🟢 Phase 2